"","Year","thickness_type","n"
"756",-673,"light layer",1.06
"757",-672,"dark layer",0.2
"758",-672,"light layer",0.8
"759",-671,"dark layer",0.1
"760",-671,"light layer",0.7
"761",-670,"dark layer",0.1
"762",-670,"light layer",0.4
"763",-669,"dark layer",0.2
"764",-669,"light layer",1
"765",-668,"dark layer",0.2
"766",-668,"light layer",0.5
"767",-667,"dark layer",0.2
"768",-667,"light layer",0.2
"769",-666,"dark layer",0.2
"770",-666,"light layer",0.4
"771",-665,"dark layer",0.1
"772",-665,"light layer",0.9
"773",-664,"dark layer",0.02
"774",-664,"light layer",0.58
"775",-663,"dark layer",0.1
"776",-663,"light layer",0.5
"777",-662,"dark layer",0.2
"778",-662,"light layer",1.2
"779",-661,"dark layer",0.2
"780",-661,"light layer",0.6
"781",-660,"dark layer",0.06
"782",-660,"light layer",0.54
"783",-659,"dark layer",0.2
"784",-659,"light layer",0.5
"785",-658,"dark layer",0.04
"786",-658,"light layer",2.96
"787",-657,"dark layer",0.04
"788",-657,"light layer",0.56
"789",-656,"dark layer",0.04
"790",-656,"light layer",0.36
"791",-655,"dark layer",0.1
"792",-655,"light layer",0.4
"793",-654,"dark layer",0.1
"794",-654,"light layer",0.7
"795",-653,"dark layer",0.1
"796",-653,"light layer",0.2
"797",-652,"dark layer",0.2
"798",-652,"light layer",0.3
"799",-651,"dark layer",0.04
"800",-651,"light layer",0.36
"801",-650,"dark layer",0.1
"802",-650,"light layer",0.2
"803",-649,"dark layer",0.1
"804",-649,"light layer",0.3
"805",-648,"dark layer",0.1
"806",-648,"light layer",0.4
"807",-647,"dark layer",0.1
"808",-647,"light layer",0.8
"809",-646,"dark layer",0.1
"810",-646,"light layer",0.6
"811",-645,"dark layer",0.1
"812",-645,"light layer",0.5
"813",-644,"dark layer",0.1
"814",-644,"light layer",0.3
"815",-643,"dark layer",0.04
"816",-643,"light layer",0.36
"817",-642,"dark layer",0.02
"818",-642,"light layer",0.38
"819",-641,"dark layer",0.1
"820",-641,"light layer",0.7
"821",-640,"dark layer",0.1
"822",-640,"light layer",0.6
"823",-639,"dark layer",0.2
"824",-639,"light layer",0.5
"825",-638,"dark layer",0.06
"826",-638,"light layer",1.34
"827",-637,"dark layer",0.1
"828",-637,"light layer",0.3
"829",-636,"dark layer",0.1
"830",-636,"light layer",1.1
"831",-635,"dark layer",0.1
"832",-635,"light layer",0.8
"833",-634,"dark layer",0.2
"834",-634,"light layer",0.8
"835",-633,"dark layer",0.3
"836",-633,"light layer",0.5
"837",-632,"dark layer",0.1
"838",-632,"light layer",0.3
"839",-631,"dark layer",0.1
"840",-631,"light layer",0.1
"841",-630,"dark layer",0.14
"842",-630,"light layer",0.26
"843",-629,"dark layer",0.1
"844",-629,"light layer",1.1
"845",-628,"dark layer",0.04
"846",-628,"light layer",0.26
"847",-627,"dark layer",0.1
"848",-627,"light layer",0.3
"849",-626,"dark layer",0.1
"850",-626,"light layer",0.4
"851",-625,"dark layer",0.04
"852",-625,"light layer",0.26
"853",-624,"dark layer",0.1
"854",-624,"light layer",0.3
"855",-623,"dark layer",0.06
"856",-623,"light layer",0.54
"857",-622,"dark layer",0.2
"858",-622,"light layer",0.4
"859",-621,"dark layer",0.04
"860",-621,"light layer",0.16
"861",-620,"dark layer",0.2
"862",-620,"light layer",1.8
"863",-619,"dark layer",0.4
"864",-619,"light layer",1
"865",-618,"dark layer",0.2
"866",-618,"light layer",0.8
"867",-617,"dark layer",0.1
"868",-617,"light layer",0.3
"869",-616,"dark layer",0.06
"870",-616,"light layer",1.74
"871",-615,"dark layer",0.04
"872",-615,"light layer",3.36
"873",-614,"dark layer",0.1
"874",-614,"light layer",1
"875",-613,"dark layer",0.1
"876",-613,"light layer",0.5
"877",-612,"dark layer",0.04
"878",-612,"light layer",0.66
"879",-611,"dark layer",0.04
"880",-611,"light layer",0.26
"881",-610,"dark layer",0.04
"882",-610,"light layer",1.06
"883",-609,"dark layer",0.04
"884",-609,"light layer",0.96
"885",-608,"dark layer",0.1
"886",-608,"light layer",0.5
"887",-607,"dark layer",0.1
"888",-607,"light layer",0.4
"889",-606,"dark layer",0.06
"890",-606,"light layer",0.54
"891",-605,"dark layer",0.1
"892",-605,"light layer",0.4
"893",-604,"dark layer",0.1
"894",-604,"light layer",0.3
"895",-603,"dark layer",0.1
